name,address,state_x,rating,totalUserRatings,placeID,latitude,longitude,ZIP,city,stateFIPS,placeFIPS,placeName,totalPopulation,malePopulation,femalePopulation,medianAge,medianAgeMale,medianAgeFemale,whitePopulation,blackPopulation,asianPopulation,hispanicPopulation,medianHouseholdIncome,incomeBelow10k,income10kTo15k,income15kTo25k,perCapitaIncome,populationBelowPoverty,medianGrossRent,totalHousingUnits,ownerOccupiedHousingUnits,renterOccupiedHousingUnits,medianHomeValue,medianMonthlyHousingCosts,medianYearStructureBuilt,totalEducationPopulation,bachelorsDegree,mastersDegree,doctorateDegree,employedPopulation,occupationData,managementOccupation,serviceOccupation,foreignBornPopulation,notHispanicWhitePopulation,notHispanicBlackPopulation,commuters,meanTravelTime,carAvailability,disabilityPopulation,healthInsurancePopulation,householdPopulation,singleParentHouseholds,marriedPopulation,state_y,place,successMetric,geometry,nearestDistanceToTRH
Texas Roadhouse,"3531 St Rose Pkwy, Henderson, NV 89052, United States",NV,4.5,1656.0,ChIJezrg6brPyIARqMjgoimZuhI,35.9872655,-115.1409337,89052.0,henderson,32,31900,"Henderson city, Nevada",309955,153452,156503,43.0,42.1,43.6,223725,18621,27054,53743,75430,4850,2833,3978,40796,24519,1360,131804,77588,43147,341100,1360,1998,224917,48025,47714,19929,152177,141477,83029,36039,53743,17929,26464,139044,3034255,120735,308083,308083,120735,78657,256787,32.0,31900.0,7452.0,POINT (-115.1409337 35.9872655),7.399733773425066
Texas Roadhouse,"45255 Abell House Ln, California, MD 20619, United States",MD,4.4,1809.0,ChIJO1jvxc9jt4kRz9_yeZeRRuc,38.300018,-76.5115008,20619.0,california,24,12150,"California CDP, Maryland",14730,7376,7354,34.9,34.7,35.2,10261,2969,278,901,97331,59,115,279,41807,1470,1631,5765,3401,2089,283300,1631,1993,9723,2305,2283,1061,8111,7746,64810,54688,901,2958,278,7927,194875,5490,14377,14377,5490,3766,11726,24.0,12150.0,7959.6,POINT (-76.5115008 38.300018),30.78929844803773
Texas Roadhouse,"1720 Delta Waters Rd, Medford, OR 97504, United States",OR,4.3,3815.0,ChIJA2cuXAt7z1QRjJdjRjzuRmY,42.3606216,-122.8621821,97504.0,medford,41,47000,"Medford city, Oregon",82098,39614,42484,37.4,36.7,37.8,71478,809,1324,13285,52243,2368,1459,1416,28040,11883,1052,35103,17503,15628,278100,1052,1980,56131,11704,9608,3580,39547,37534,55818,31918,13285,800,1303,36743,572300,33131,81186,81186,33131,20498,65625,41.0,47000.0,16404.5,POINT (-122.8621821 42.3606216),118.63296093260067
Texas Roadhouse,"1380 E Craig Rd, North Las Vegas, NV 89030, United States",NV,4.5,7423.0,ChIJDwtfTG3pyIARIBZOOnnHLxQ,36.2403115,-115.1248801,89030.0,north las vegas,32,51800,"North Las Vegas city, Nevada",247248,121416,125832,33.1,32.1,34.1,118703,54187,16431,102243,60972,4099,1970,2501,24082,30954,1253,81881,45593,30630,260100,1253,2001,153832,42170,17871,6881,117316,108004,57079,34159,102243,52128,16199,107226,2857150,76223,243198,243198,76223,56491,189174,32.0,51800.0,33403.5,POINT (-115.1248801 36.2403115),12.972378746634615
Texas Roadhouse,"3738 Eagle Boulevard, Brighton, CO 80601, United States",CO,4.5,2248.0,ChIJnWIreNttbIcRb-DeRDFyOOw,39.9573446,-104.7734181,80601.0,brighton,8,8675,"Brighton city, Colorado",38355,19849,18506,34.0,32.2,35.8,30498,1080,1015,13803,74813,432,343,346,31348,3129,1363,12183,7682,4179,337100,1363,1996,24966,6535,3479,1436,19583,18742,70973,47813,13803,1042,990,18529,555660,11861,36674,36674,11861,8516,29359,8.0,8675.0,10116.0,POINT (-104.7734181 39.9573446),12.41966604310501
Texas Roadhouse,"14200 E Iliff Ave, Aurora, CO 80014, United States",CO,4.5,7179.0,ChIJe2iyACKIbIcRo62YhZ6Jrp8,39.6736968,-104.822374,80014.0,aurora,8,4000,"Aurora city, Colorado",379434,188439,190995,34.8,33.9,36.0,220450,63411,25945,107517,67723,5530,3300,3448,31993,39445,1401,139091,82030,51032,322200,1401,1984,251550,56508,49568,20479,208777,198008,64924,32390,107517,61215,25574,195627,5376795,133062,376125,376125,133062,87278,300708,8.0,4000.0,32305.5,POINT (-104.822374 39.6736968),8.134538041227517
Texas Roadhouse,"231 W 104th Ave, Northglenn, CO 80234, United States",CO,4.5,5566.0,ChIJvdF2vot2bIcRGNztOeCkL_w,39.8868248,-104.9890098,80234.0,denver,8,20000,"Denver city, Colorado",715878,358669,357209,34.6,34.4,34.8,517163,65745,25873,211409,72661,15988,9630,9584,45636,83516,1397,306269,145172,142584,427600,1397,1970,519573,70359,161125,68300,426849,408318,76211,32308,211409,63132,25414,400938,9014680,287756,709801,709801,287756,138396,597236,8.0,20000.0,25047.0,POINT (-104.9890098 39.8868248),7.867810139978561
Texas Roadhouse,"3120 N Powers Blvd, Colorado Springs, CO 80922, United States",CO,4.4,7364.0,ChIJwRrS4iZGE4cRyrYQw-ZQ4ic,38.8767508,-104.7208871,80922.0,colorado springs,8,16000,"Colorado Springs city, Colorado",471686,236066,235620,34.7,33.3,36.4,364404,29617,13271,84879,67719,8717,7017,6635,35506,52298,1196,194008,111167,73621,294500,1196,1984,313413,48687,74810,37299,242373,228329,65750,32830,84879,27900,13010,235062,4970330,184788,457146,457146,184788,117164,381167,8.0,16000.0,32401.600000000002,POINT (-104.7208871 38.8767508),7.264753928416683
Texas Roadhouse,"3696 S Natches Ct, Sheridan, CO 80110, United States",CO,4.4,3545.0,ChIJ-16TF3SAbIcRtP4tN1TD4Xs,39.6503046,-105.003593,80110.0,englewood,8,24785,"Englewood city, Colorado",34840,17028,17812,36.4,36.3,36.4,29861,796,371,6538,66399,726,753,763,40749,4178,1224,16755,7576,8180,379300,1224,1961,25963,4598,7530,2587,21283,20484,66033,33929,6538,772,353,20060,463765,15756,34453,34453,15756,7266,29969,8.0,24785.0,15598.000000000002,POINT (-105.003593 39.6503046),8.358402523347182
Texas Roadhouse,"5515 Vance St, Arvada, CO 80002, United States",CO,4.4,5326.0,ChIJt_BPVC2Ga4cRgXscsUD_N_U,39.7966512,-105.079576,80002.0,arvada,8,3455,"Arvada city, Colorado",120229,59038,61191,40.0,38.5,41.4,107118,1229,2529,17237,92669,1356,770,871,45270,6157,1444,48408,35653,11330,424100,1444,1978,87084,16777,23970,10823,68885,66149,82703,39758,17237,1128,2482,65026,1596185,46983,119816,119816,46983,31339,99243,8.0,3455.0,23434.4,POINT (-105.079576 39.7966512),7.8678101399786735
Texas Roadhouse,"11205 S Parker Rd, Parker, CO 80134, United States",CO,4.4,2930.0,ChIJObDU_O6RbIcRDg_pz9QYA90,39.5115861,-104.7676245,80134.0,parker,8,57630,"Parker town, Colorado",55460,27664,27796,35.3,34.6,35.9,47795,849,2808,6505,114802,424,349,181,45720,1936,1676,19750,14395,4549,446100,1676,2001,34698,3995,11937,5227,31126,30052,106738,43274,6505,783,2758,29770,694095,18944,55293,55293,18944,14264,41890,8.0,57630.0,12892.000000000002,POINT (-104.7676245 39.5115861),11.57388976237299
Texas Roadhouse,"2451 W 28th St, Greeley, CO 80634, United States",CO,4.4,4205.0,ChIJCbSM_BKhbocRCmMSsgJyRE0,40.3929551,-104.7197279,80634.0,greeley,8,32155,"Greeley city, Colorado",107445,54093,53352,31.6,30.8,32.5,91556,2657,1557,41053,57537,2206,1681,1536,26273,15921,1063,36449,21063,13658,274800,1063,1983,65815,14100,10371,4594,53133,50143,63896,31080,41053,2544,1427,49376,1163365,34721,105143,105143,34721,23143,85144,8.0,32155.0,18502.0,POINT (-104.7197279 40.3929551),19.15131824182542
