rating,totalUserRatings,latitude,longitude,ZIP,city,stateFIPS,placeFIPS,totalPopulation,malePopulation,femalePopulation,medianAge,medianAgeMale,medianAgeFemale,whitePopulation,blackPopulation,asianPopulation,hispanicPopulation,medianHouseholdIncome,incomeBelow10k,income10kTo15k,income15kTo25k,perCapitaIncome,populationBelowPoverty,medianGrossRent,totalHousingUnits,ownerOccupiedHousingUnits,renterOccupiedHousingUnits,medianHomeValue,medianMonthlyHousingCosts,medianYearStructureBuilt,totalEducationPopulation,bachelorsDegree,mastersDegree,doctorateDegree,employedPopulation,occupationData,managementOccupation,serviceOccupation,foreignBornPopulation,notHispanicWhitePopulation,notHispanicBlackPopulation,commuters,meanTravelTime,carAvailability,disabilityPopulation,healthInsurancePopulation,householdPopulation,singleParentHouseholds,marriedPopulation,place,successMetric,nearestDistanceToTRH,successProbability,predictedLabel,existingLocation,ZIP3
4.3,3377.0,43.1570081,-86.2048652,49444.0,muskegon,26,56320,37317,18901,18416,34.9,34.5,36.0,21339,11839,234,4219,35323,1673,1029,1316,17745,7979,741.0,15744,6750,6780,77200.0,741.0,1950,24391,5724,2396,735,15322,13754,35651,30785,4219,11796,234,13279,263120,13530,33159,33159,13530,7296,29830,56320.0,14521.1,28.74903107989052,0.0,0,1,494
4.3,1996.0,42.4854937,-83.4783106,48375.0,novi,26,59440,60439,29500,30939,39.2,38.9,39.5,38084,4477,14513,2562,93943,461,393,283,52545,2035,1352.0,25275,16045,8085,325500.0,1352.0,1991,41959,5332,13220,8897,32939,31670,114747,40411,2562,4477,14440,30930,778630,24130,60146,60146,24130,15772,48947,59440.0,8582.8,11.755029775310346,0.0,0,1,483
4.5,9127.0,45.196439,-93.3375698,55448.0,minneapolis,27,43000,424536,215075,209461,32.3,32.3,32.2,266834,80114,25100,40851,66068,13298,9078,6785,40368,74928,1078.0,190105,84821,94065,268100.0,1078.0,1949,283237,33420,89660,39065,257723,244196,74561,31626,40851,79156,24955,238990,4966330,178886,420766,420766,178886,78540,352029,43000.0,41071.5,26.27482616969851,0.0,0,1,554
4.4,3975.0,44.9453044,-92.9332259,55125.0,saint paul,27,58000,305877,149625,156252,32.5,32.0,32.8,168919,47262,58518,27545,59717,7126,5503,4977,32779,53518,1013.0,121887,58542,56200,217100.0,1013.0,1951,196431,33892,47807,22102,166236,157988,68867,32642,27545,46505,58342,155000,3392445,114742,303647,303647,114742,61588,241776,58000.0,17490.0,19.56398115042567,0.0,0,1,551
4.5,4648.0,45.5510374,-94.2204104,56387.0,waite park,27,67612,7719,3722,3997,35.5,35.0,37.3,5117,1700,352,417,43867,217,227,292,23626,1700,877.0,3630,1510,2005,160700.0,877.0,1987,5030,1524,583,78,4375,4190,49060,30869,417,1700,352,4155,70140,3515,7700,7700,3515,1871,6422,67612.0,20916.0,49.35955050192946,0.0,0,1,563
4.4,1429.0,44.7213327,-93.1775152,55124.0,saint paul,27,58000,305877,149625,156252,32.5,32.0,32.8,168919,47262,58518,27545,59717,7126,5503,4977,32779,53518,1013.0,121887,58542,56200,217100.0,1013.0,1951,196431,33892,47807,22102,166236,157988,68867,32642,27545,46505,58342,155000,3392445,114742,303647,303647,114742,61588,241776,58000.0,6287.6,12.309629971631365,0.0,0,1,551
4.4,3925.0,44.0777662,-92.5143264,55901.0,rochester,27,54880,117134,57244,59890,35.9,35.0,37.3,91821,10107,8644,7062,76034,1935,1648,1564,40789,10899,1044.0,50944,32528,15940,219400.0,1044.0,1985,79196,12021,21422,9930,65662,63084,77744,33448,7062,9840,8616,62058,978440,48468,115519,115519,48468,29171,93357,54880.0,17270.0,55.21796753567287,0.0,0,1,559
4.4,2031.0,44.781022,-93.4138848,55379.0,shakopee,27,59350,41423,20187,21236,35.1,35.0,35.2,28901,3345,4229,3327,90642,242,232,442,37857,2408,1213.0,14556,10483,3642,280500.0,1213.0,1998,26316,5610,7059,1658,23448,22635,80909,40488,3327,3321,4229,22294,458115,14125,40438,40438,14125,10092,32019,59350.0,8936.400000000001,12.309629971631445,0.0,0,1,553
4.6,4231.0,46.801221,-92.1490797,55811.0,duluth,27,17000,85852,41771,44081,33.7,32.9,34.6,76475,2057,1193,2206,54084,2742,1742,1726,31945,14237,854.0,38812,21991,14535,167300.0,854.0,1949,53674,9914,13043,5228,47648,45251,60240,32374,2206,2035,1193,44363,704325,36526,84257,84257,36526,17944,72755,17000.0,19462.6,124.68941198671216,0.0,0,1,558
4.3,3681.0,30.4369328,-89.0990363,39503.0,gulfport,28,29700,71660,34433,37227,35.2,33.1,36.9,38704,27318,863,4157,40554,3178,1841,1930,23907,16536,887.0,33642,14336,13857,132700.0,887.0,1984,47475,10428,6585,2990,33373,29952,56958,26698,4157,27260,863,30812,634735,28193,69078,69078,28193,17777,56976,29700.0,15828.3,40.04888655360632,0.0,0,1,395
