placeName,totalPopulation,malePopulation,femalePopulation,medianAge,medianAgeMale,medianAgeFemale,whitePopulation,blackPopulation,asianPopulation,hispanicPopulation,medianHouseholdIncome,incomeBelow10k,income10kTo15k,income15kTo25k,perCapitaIncome,populationBelowPoverty,medianGrossRent,totalHousingUnits,ownerOccupiedHousingUnits,renterOccupiedHousingUnits,medianHomeValue,medianMonthlyHousingCosts,medianYearStructureBuilt,totalEducationPopulation,bachelorsDegree,mastersDegree,doctorateDegree,employedPopulation,occupationData,managementOccupation,serviceOccupation,foreignBornPopulation,notHispanicWhitePopulation,notHispanicBlackPopulation,commuters,meanTravelTime,carAvailability,disabilityPopulation,healthInsurancePopulation,householdPopulation,singleParentHouseholds,unmarriedPartners,marriedPopulation,state,place,stateFIPS,placeFIPS,city,zip,latitude,longitude
"Aurora city, Colorado",379434,188439,190995,34.8,33.9,36,220450,63411,25945,107517,67723,5530,3300,3448,31993,39445,1401,139091,82030,51032,322200,1401,1984,251550,56508,49568,20479,208777,198008,64924,32390,107517,61215,25574,195627,5376795,133062,376125,376125,133062,87278,,300708,CO,4000,8,4000,AURORA,80040,39.7294,-104.8319
"Aurora city, Colorado",379434,188439,190995,34.8,33.9,36,220450,63411,25945,107517,67723,5530,3300,3448,31993,39445,1401,139091,82030,51032,322200,1401,1984,251550,56508,49568,20479,208777,198008,64924,32390,107517,61215,25574,195627,5376795,133062,376125,376125,133062,87278,,300708,CO,4000,8,4000,AURORA,80041,39.7294,-104.8319
"Aurora city, Colorado",379434,188439,190995,34.8,33.9,36,220450,63411,25945,107517,67723,5530,3300,3448,31993,39445,1401,139091,82030,51032,322200,1401,1984,251550,56508,49568,20479,208777,198008,64924,32390,107517,61215,25574,195627,5376795,133062,376125,376125,133062,87278,,300708,CO,4000,8,4000,AURORA,80042,39.7294,-104.8319
"Aurora city, Colorado",379434,188439,190995,34.8,33.9,36,220450,63411,25945,107517,67723,5530,3300,3448,31993,39445,1401,139091,82030,51032,322200,1401,1984,251550,56508,49568,20479,208777,198008,64924,32390,107517,61215,25574,195627,5376795,133062,376125,376125,133062,87278,,300708,CO,4000,8,4000,AURORA,80044,39.7294,-104.8319
"Aurora city, Colorado",379434,188439,190995,34.8,33.9,36,220450,63411,25945,107517,67723,5530,3300,3448,31993,39445,1401,139091,82030,51032,322200,1401,1984,251550,56508,49568,20479,208777,198008,64924,32390,107517,61215,25574,195627,5376795,133062,376125,376125,133062,87278,,300708,CO,4000,8,4000,AURORA,80045,39.74702,-104.8319
"Aurora city, Colorado",379434,188439,190995,34.8,33.9,36,220450,63411,25945,107517,67723,5530,3300,3448,31993,39445,1401,139091,82030,51032,322200,1401,1984,251550,56508,49568,20479,208777,198008,64924,32390,107517,61215,25574,195627,5376795,133062,376125,376125,133062,87278,,300708,CO,4000,8,4000,AURORA,80045,39.74702,-104.8319
"Aurora city, Colorado",379434,188439,190995,34.8,33.9,36,220450,63411,25945,107517,67723,5530,3300,3448,31993,39445,1401,139091,82030,51032,322200,1401,1984,251550,56508,49568,20479,208777,198008,64924,32390,107517,61215,25574,195627,5376795,133062,376125,376125,133062,87278,,300708,CO,4000,8,4000,AURORA,80046,39.7294,-104.8319
"Aurora city, Colorado",379434,188439,190995,34.8,33.9,36,220450,63411,25945,107517,67723,5530,3300,3448,31993,39445,1401,139091,82030,51032,322200,1401,1984,251550,56508,49568,20479,208777,198008,64924,32390,107517,61215,25574,195627,5376795,133062,376125,376125,133062,87278,,300708,CO,4000,8,4000,AURORA,80047,39.7294,-104.8319
"Avon town, Colorado",6711,3696,3015,32.4,31.6,33.6,5297,133,75,2582,66953,152,100,54,45130,959,1414,4220,1251,1166,543500,1414,1991,4200,606,1451,205,4311,4072,79195,42742,2582,133,75,3850,82365,2417,6711,6711,2417,1412,,4985,CO,4110,8,4110,AVON,81620,39.61485,-106.50555
"Basalt town, Colorado",3941,2027,1914,44.1,44.5,42.7,3702,10,18,369,100551,53,62,40,55060,198,1757,2354,1111,672,790400,1757,1994,2996,357,1214,207,2501,2417,87306,-666666666,369,10,18,2405,52405,1783,3941,3941,1783,1129,,3163,CO,4935,8,4935,BASALT,81621,39.37803,-106.8772
"Basalt town, Colorado",3941,2027,1914,44.1,44.5,42.7,3702,10,18,369,100551,53,62,40,55060,198,1757,2354,1111,672,790400,1757,1994,2996,357,1214,207,2501,2417,87306,-666666666,369,10,18,2405,52405,1783,3941,3941,1783,1129,,3163,CO,4935,8,4935,BASALT,81654,39.21462,-107.02597
"Battlement Mesa CDP, Colorado",4870,2744,2126,35.5,26.6,44.8,3693,1,34,1209,65435,15,113,38,32758,203,774,2391,1410,584,207200,774,1994,3153,1040,478,287,2392,2297,75336,-666666666,1209,1,34,2228,83375,1994,4870,4870,1994,1215,,3753,CO,5120,8,5120,BATTLEMENT MESA,81635,39.53722,-108.06022
"Bayfield town, Colorado",2550,1451,1099,32.7,30,37,2231,0,2,501,65357,10,32,17,28060,216,1021,902,644,172,329700,1021,1996,1600,444,289,73,1427,1377,39671,48500,501,0,2,1344,27030,816,2550,2550,816,575,,1926,CO,5265,8,5265,BAYFIELD,81122,37.31839,-107.50574
"Bennett town, Colorado",2603,1341,1262,39.7,44.3,35.9,2305,10,24,351,64107,35,32,21,35582,203,1103,1008,751,227,280500,1103,1986,1830,525,318,31,1300,1240,72857,26250,351,10,24,1237,38645,978,2585,2585,978,607,,2144,CO,6090,8,6090,BENNETT,80102,39.73237,-104.43874
"Bennett town, Colorado",2603,1341,1262,39.7,44.3,35.9,2305,10,24,351,64107,35,32,21,35582,203,1103,1008,751,227,280500,1103,1986,1830,525,318,31,1300,1240,72857,26250,351,10,24,1237,38645,978,2585,2585,978,607,,2144,CO,6090,8,6090,BENNETT,80136,39.80729,-104.29613
"Berkley CDP, Colorado",11299,5718,5581,33,33.3,32.1,9290,126,497,6116,69722,270,234,66,26712,1766,1385,3921,2471,1227,321700,1385,1975,6893,1247,1139,456,6678,6397,57098,32536,6116,124,497,6310,160350,3698,11283,11283,3698,2358,,9356,CO,6172,8,6172,BERKLEY,80002,39.79405,-105.10845
"Berthoud town, Colorado",8574,4199,4375,37,36.1,39.7,8064,4,58,770,86501,0,42,145,39002,253,1565,3184,2606,525,365800,1565,1998,5913,1031,1382,553,4929,4681,93438,33622,770,0,58,4606,125500,3131,8502,8502,3131,2572,,6895,CO,6255,8,6255,BERTHOUD,80513,40.29789,-105.10913
"Black Forest CDP, Colorado",13103,6322,6781,48.1,48.8,47.6,12052,203,168,942,119957,65,25,44,53283,207,-666666666,5074,4520,296,571800,-666666666,1997,9457,1033,3012,1771,7097,6810,91694,61417,942,184,168,6757,172445,4816,13049,13049,4816,3890,,11151,CO,6970,8,6970,BLACK FOREST,80106,39.17646,-104.52975
"Boulder city, Colorado",108777,56091,52686,28.8,28.2,29.6,93879,1166,6400,11167,72279,4533,1509,1582,49050,19920,1588,46333,21507,21871,736000,1588,1976,63441,2967,23547,15594,63460,59985,81673,28167,11167,1068,6365,58730,944610,43378,107292,107292,43378,17661,,97930,CO,7850,8,7850,BOULDER,80301,40.04795,-105.19876
"Boulder city, Colorado",108777,56091,52686,28.8,28.2,29.6,93879,1166,6400,11167,72279,4533,1509,1582,49050,19920,1588,46333,21507,21871,736000,1588,1976,63441,2967,23547,15594,63460,59985,81673,28167,11167,1068,6365,58730,944610,43378,107292,107292,43378,17661,,97930,CO,7850,8,7850,BOULDER,80302,40.0306,-105.35542
"Boulder city, Colorado",108777,56091,52686,28.8,28.2,29.6,93879,1166,6400,11167,72279,4533,1509,1582,49050,19920,1588,46333,21507,21871,736000,1588,1976,63441,2967,23547,15594,63460,59985,81673,28167,11167,1068,6365,58730,944610,43378,107292,107292,43378,17661,,97930,CO,7850,8,7850,BOULDER,80303,39.97422,-105.21206
"Boulder city, Colorado",108777,56091,52686,28.8,28.2,29.6,93879,1166,6400,11167,72279,4533,1509,1582,49050,19920,1588,46333,21507,21871,736000,1588,1976,63441,2967,23547,15594,63460,59985,81673,28167,11167,1068,6365,58730,944610,43378,107292,107292,43378,17661,,97930,CO,7850,8,7850,BOULDER,80304,40.04557,-105.29006
"Boulder city, Colorado",108777,56091,52686,28.8,28.2,29.6,93879,1166,6400,11167,72279,4533,1509,1582,49050,19920,1588,46333,21507,21871,736000,1588,1976,63441,2967,23547,15594,63460,59985,81673,28167,11167,1068,6365,58730,944610,43378,107292,107292,43378,17661,,97930,CO,7850,8,7850,BOULDER,80305,39.97733,-105.24877
"Boulder city, Colorado",108777,56091,52686,28.8,28.2,29.6,93879,1166,6400,11167,72279,4533,1509,1582,49050,19920,1588,46333,21507,21871,736000,1588,1976,63441,2967,23547,15594,63460,59985,81673,28167,11167,1068,6365,58730,944610,43378,107292,107292,43378,17661,,97930,CO,7850,8,7850,BOULDER,80306,40.015,-105.2705
"Boulder city, Colorado",108777,56091,52686,28.8,28.2,29.6,93879,1166,6400,11167,72279,4533,1509,1582,49050,19920,1588,46333,21507,21871,736000,1588,1976,63441,2967,23547,15594,63460,59985,81673,28167,11167,1068,6365,58730,944610,43378,107292,107292,43378,17661,,97930,CO,7850,8,7850,BOULDER,80307,40.015,-105.2705
"Boulder city, Colorado",108777,56091,52686,28.8,28.2,29.6,93879,1166,6400,11167,72279,4533,1509,1582,49050,19920,1588,46333,21507,21871,736000,1588,1976,63441,2967,23547,15594,63460,59985,81673,28167,11167,1068,6365,58730,944610,43378,107292,107292,43378,17661,,97930,CO,7850,8,7850,BOULDER,80308,40.015,-105.2705
"Breckenridge town, Colorado",5054,2437,2617,30.7,31.8,29.7,4677,33,0,183,91299,18,0,21,41023,111,1458,7181,835,824,450400,1458,1990,4194,432,1519,433,4005,3949,46475,-666666666,183,33,0,3770,54405,1659,4971,4971,1659,758,,4619,CO,8400,8,8400,BRECKENRIDGE,80424,39.47089,-106.01685
"Brighton city, Colorado",38355,19849,18506,34,32.2,35.8,30498,1080,1015,13803,74813,432,343,346,31348,3129,1363,12183,7682,4179,337100,1363,1996,24966,6535,3479,1436,19583,18742,70973,47813,13803,1042,990,18529,555660,11861,36674,36674,11861,8516,,29359,CO,8675,8,8675,BRIGHTON,80601,39.96288,-104.80777
"Brighton city, Colorado",38355,19849,18506,34,32.2,35.8,30498,1080,1015,13803,74813,432,343,346,31348,3129,1363,12183,7682,4179,337100,1363,1996,24966,6535,3479,1436,19583,18742,70973,47813,13803,1042,990,18529,555660,11861,36674,36674,11861,8516,,29359,CO,8675,8,8675,BRIGHTON,80602,39.96369,-104.90661
